county,state,avganncount,avgdeathsperyear,popest2015,medincome,binnedinc,medianage,medianagemale,medianagefemale,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctpubliccoverage,povertypercent,studypercap
Greenbrier County, West Virginia,250.0,103,35516,36996,"(34218.1, 37413.8]",45.3,44.6,46.7,44.0,11.2,48.2,7.2,61.9,43.0,21.1,0.0
Hampshire County, West Virginia,145.0,66,23353,35980,"(34218.1, 37413.8]",44.6,44.0,45.1,50.0,6.9,46.0,8.1,50.5,44.7,21.2,0.0
Hancock County, West Virginia,218.0,85,29815,48178,"(48021.6, 51046.4]",45.6,44.1,47.9,42.8,12.6,53.2,7.2,69.5,37.6,12.9,0.0
Hardy County, West Virginia,68.0,29,13852,41010,"(40362.7, 42724.4]",44.5,44.2,45.0,47.7,9.3,53.7,7.9,65.8,38.2,15.3,0.0
Harrison County, West Virginia,449.0,192,68714,42121,"(40362.7, 42724.4]",42.0,40.5,43.5,39.5,13.5,53.0,7.4,64.0,39.5,13.9,160.0838257
Jackson County, West Virginia,182.0,78,29237,41121,"(40362.7, 42724.4]",42.6,41.2,44.1,41.1,11.7,46.8,6.8,66.9,40.6,16.7,0.0
Jefferson County, West Virginia,245.0,101,56482,66950,"(61494.5, 125635]",39.7,39.9,39.3,32.1,18.2,60.3,8.4,73.3,29.2,10.2,0.0
Kanawha County, West Virginia,1285.0,539,188332,43936,"(42724.4, 45201]",42.8,40.9,44.3,37.3,14.7,54.1,7.0,66.0,39.4,16.8,191.1517958
Lewis County, West Virginia,124.0,50,16448,40568,"(40362.7, 42724.4]",43.3,42.2,44.7,49.7,9.3,47.1,7.2,56.4,46.8,20.0,0.0
Lincoln County, West Virginia,139.0,60,21415,34295,"(34218.1, 37413.8]",41.9,41.4,42.8,43.4,5.7,42.2,10.1,51.7,52.6,24.4,46.69624095
Logan County, West Virginia,245.0,113,34707,36437,"(34218.1, 37413.8]",42.6,41.5,44.1,41.6,5.5,40.5,10.9,56.1,45.5,20.2,28.81263146
McDowell County, West Virginia,137.0,70,19835,24707,"[22640, 34218.1]",44.1,41.5,46.5,43.9,3.2,27.0,13.3,39.7,58.5,34.9,0.0
Marion County, West Virginia,373.0,144,56925,43729,"(42724.4, 45201]",41.1,39.7,42.7,40.9,14.5,,4.9,67.6,35.7,17.9,0.0
Marshall County, West Virginia,208.0,87,31978,43356,"(42724.4, 45201]",44.3,42.9,46.5,45.1,11.4,50.9,7.0,70.3,37.5,15.2,0.0
Mason County, West Virginia,168.0,78,27037,35799,"(34218.1, 37413.8]",43.0,42.3,44.1,47.5,7.8,41.2,10.3,59.6,47.6,20.6,1146.576913
Mercer County, West Virginia,418.0,184,61164,35046,"(34218.1, 37413.8]",42.3,40.6,43.7,37.9,12.5,46.6,5.1,56.4,48.2,20.5,81.74743313
Mineral County, West Virginia,170.0,76,27451,40012,"(37413.8, 40362.7]",43.2,42.1,44.4,50.2,8.5,47.0,8.8,58.6,39.4,16.1,0.0
Mingo County, West Virginia,163.0,76,25292,29839,"[22640, 34218.1]",41.7,40.4,42.7,41.0,5.4,38.1,14.1,51.6,50.9,28.1,0.0
Monongalia County, West Virginia,382.0,132,104236,43835,"(42724.4, 45201]",30.0,28.5,31.3,29.9,20.6,55.4,5.8,76.5,23.3,22.5,95.9361449
Monroe County, West Virginia,86.0,39,13506,36351,"(34218.1, 37413.8]",46.6,45.4,48.3,49.4,8.7,48.0,7.3,60.5,45.2,19.3,0.0
Morgan County, West Virginia,105.0,52,17524,44446,"(42724.4, 45201]",46.1,45.8,46.6,41.2,11.1,49.3,12.3,63.7,38.4,13.0,0.0
Nicholas County, West Virginia,160.0,72,25594,36375,"(34218.1, 37413.8]",43.4,42.3,44.7,48.0,8.2,46.5,8.4,61.6,44.1,19.6,0.0
Ohio County, West Virginia,308.0,123,43066,40195,"(37413.8, 40362.7]",43.3,41.3,45.1,34.5,18.7,56.0,5.5,70.9,36.2,18.4,301.8622579
Pendleton County, West Virginia,45.0,19,7229,38204,"(37413.8, 40362.7]",49.1,47.4,50.3,46.0,7.3,45.4,4.9,59.8,45.3,16.7,0.0
Pleasants County, West Virginia,45.0,21,7674,44801,"(42724.4, 45201]",43.6,42.0,45.6,50.1,7.3,45.6,8.2,71.6,36.8,16.5,0.0
Pocahontas County, West Virginia,50.0,23,8607,34341,"(34218.1, 37413.8]",48.4,47.9,49.0,47.4,10.0,50.7,5.7,60.0,44.9,17.6,0.0
Preston County, West Virginia,183.0,73,33940,41420,"(40362.7, 42724.4]",42.3,40.4,43.5,46.4,9.0,49.5,7.0,63.5,39.3,17.6,0.0
Putnam County, West Virginia,328.0,114,56848,59472,"(54545.6, 61494.5]",41.0,40.4,41.6,37.8,14.8,57.7,3.7,73.6,31.2,10.0,211.0892204
Raleigh County, West Virginia,482.0,206,77510,40270,"(37413.8, 40362.7]",41.6,40.0,43.4,39.5,12.0,45.5,6.6,60.6,44.6,17.7,12.90156109
Randolph County, West Virginia,161.0,68,29126,37468,"(37413.8, 40362.7]",43.2,41.7,45.1,46.3,10.6,48.7,6.7,59.6,43.3,20.8,0.0
Ritchie County, West Virginia,72.0,32,9982,46383,"(45201, 48021.6]",45.2,45.1,45.3,47.9,6.3,44.8,10.6,57.4,46.9,17.7,0.0
Roane County, West Virginia,89.0,41,14435,33041,"[22640, 34218.1]",44.2,43.2,45.0,46.5,8.2,41.3,8.9,51.6,51.8,23.1,0.0
Summers County, West Virginia,76.0,36,13239,32456,"[22640, 34218.1]",46.3,46.9,46.0,40.5,7.6,42.2,10.0,60.2,49.6,25.8,0.0
Taylor County, West Virginia,87.0,39,16912,40305,"(37413.8, 40362.7]",43.0,41.6,44.5,43.6,11.7,48.9,9.5,63.7,42.6,16.8,0.0
Tucker County, West Virginia,56.0,19,6966,36466,"(34218.1, 37413.8]",47.7,47.0,48.4,52.7,7.1,51.7,7.6,68.0,39.3,17.1,0.0
Tyler County, West Virginia,61.0,27,8975,41019,"(40362.7, 42724.4]",46.2,45.6,46.9,49.2,7.2,44.1,10.9,62.3,43.0,15.8,0.0
Upshur County, West Virginia,142.0,60,24758,38387,"(37413.8, 40362.7]",41.8,41.2,42.5,48.4,9.3,48.2,8.0,59.7,40.2,19.7,0.0
Wayne County, West Virginia,236.0,102,40971,37242,"(34218.1, 37413.8]",42.5,41.3,43.5,40.9,7.5,43.3,9.9,54.6,45.6,20.0,24.40750775
Webster County, West Virginia,65.0,33,8755,29331,"[22640, 34218.1]",46.3,45.5,46.6,43.0,5.3,40.2,14.8,45.1,53.3,26.1,114.2204455
Wetzel County, West Virginia,120.0,50,15816,40013,"(37413.8, 40362.7]",46.0,44.6,47.2,48.7,6.0,41.7,8.1,63.5,44.6,18.5,0.0
Wirt County, West Virginia,35.0,14,5880,38600,"(37413.8, 40362.7]",45.0,45.4,44.0,47.6,7.8,47.9,8.4,61.6,41.4,20.3,0.0
Wood County, West Virginia,554.0,217,86452,41932,"(40362.7, 42724.4]",42.5,41.1,44.0,38.1,12.2,52.4,8.6,63.0,42.0,17.2,173.5066858
Wyoming County, West Virginia,134.0,69,22151,34419,"(34218.1, 37413.8]",42.8,41.5,44.2,46.0,4.5,34.6,10.1,54.6,49.9,22.8,0.0
Adams County, Wisconsin,164.0,73,20148,42063,"(40362.7, 42724.4]",51.4,49.7,53.3,43.7,8.5,42.2,10.1,63.9,50.8,17.8,0.0
Ashland County, Wisconsin,90.0,45,15843,41294,"(40362.7, 42724.4]",42.2,40.8,42.8,35.0,14.6,58.2,7.9,62.7,42.5,14.9,0.0
Barron County, Wisconsin,254.0,112,45563,46375,"(45201, 48021.6]",43.9,42.0,45.6,39.8,10.6,60.0,6.0,68.4,39.2,13.7,1097.3816470000002
Bayfield County, Wisconsin,88.0,42,14977,44395,"(42724.4, 45201]",50.8,50.5,51.1,30.2,18.9,54.1,7.2,65.9,44.1,13.6,0.0
Brown County, Wisconsin,1214.0,406,258718,54141,"(51046.4, 54545.6]",36.8,35.7,37.9,31.3,20.0,65.4,6.1,72.5,30.0,12.0,1213.676667
Buffalo County, Wisconsin,71.0,33,13192,50998,"(48021.6, 51046.4]",45.0,45.1,44.9,42.5,12.4,64.7,3.7,73.4,34.5,10.5,151.6070346
Burnett County, Wisconsin,103.0,50,15159,41810,"(40362.7, 42724.4]",50.9,50.6,51.4,40.0,11.9,50.3,7.5,64.2,48.2,16.5,0.0
Calumet County, Wisconsin,238.0,79,49762,68430,"(61494.5, 125635]",39.0,38.4,39.8,33.8,20.6,69.4,3.1,84.1,22.4,5.9,0.0
Chippewa County, Wisconsin,356.0,123,63531,52485,"(51046.4, 54545.6]",40.6,39.1,42.0,38.5,13.5,61.8,5.1,73.4,33.9,10.7,487.9507642
Clark County, Wisconsin,184.0,70,34445,45316,"(45201, 48021.6]",37.1,36.4,38.4,43.3,8.4,61.2,4.8,56.6,34.0,16.0,0.0
Columbia County, Wisconsin,323.0,123,56743,59020,"(54545.6, 61494.5]",42.0,41.3,42.7,34.9,15.8,65.0,5.8,78.2,29.4,8.8,0.0
Crawford County, Wisconsin,109.0,43,16391,43562,"(42724.4, 45201]",45.9,44.2,47.1,42.7,10.1,55.6,6.5,67.4,41.0,14.7,122.0181807
Dane County, Wisconsin,2015.0,707,523643,61937,"(61494.5, 125635]",34.6,33.7,35.6,19.0,28.3,69.5,4.9,82.5,22.6,13.4,129.85946529999998
Dodge County, Wisconsin,463.0,201,88502,54359,"(51046.4, 54545.6]",42.0,40.4,43.7,40.2,11.5,60.1,6.0,77.7,30.3,9.9,0.0
Door County, Wisconsin,208.0,77,27554,49717,"(48021.6, 51046.4]",51.7,50.2,53.2,32.9,19.7,55.6,6.2,75.8,39.5,11.0,1778.326196
Douglas County, Wisconsin,187.0,104,43601,46475,"(45201, 48021.6]",40.6,39.8,41.3,33.2,15.4,59.9,7.0,66.5,37.9,13.9,0.0
Dunn County, Wisconsin,177.0,72,44497,52224,"(51046.4, 54545.6]",34.1,33.4,35.0,34.6,16.2,62.0,6.1,72.4,32.3,13.9,0.0
Eau Claire County, Wisconsin,454.0,177,102105,48102,"(48021.6, 51046.4]",33.8,33.0,34.7,26.9,19.9,65.3,5.8,74.8,29.4,14.4,675.7749376
Florence County, Wisconsin,23.0,13,4464,44562,"(42724.4, 45201]",51.1,50.8,51.3,39.2,12.0,51.1,7.2,68.9,41.8,12.8,0.0
Fond du Lac County, Wisconsin,579.0,206,101973,52149,"(51046.4, 54545.6]",41.0,40.1,41.8,38.5,14.8,64.6,5.3,77.1,30.6,9.9,235.3564179
Forest County, Wisconsin,68.0,25,9057,41418,"(40362.7, 42724.4]",45.3,44.4,46.4,40.7,8.8,47.6,10.1,59.8,43.9,17.0,4306.06161
Grant County, Wisconsin,257.0,108,52250,46972,"(45201, 48021.6]",36.1,33.2,39.7,38.7,13.1,62.2,4.6,74.8,30.4,15.0,0.0
Green County, Wisconsin,187.0,74,37186,53328,"(51046.4, 54545.6]",42.2,41.3,43.2,39.0,14.8,67.6,3.5,78.2,30.2,8.7,0.0
Seward County, Nebraska,89.0,32,17110,61802,"(61494.5, 125635]",458.4,36.3,40.7,29.5,18.0,63.4,3.5,83.4,24.3,8.2,0.0
Sheridan County, Nebraska,29.0,15,5220,40351,"(37413.8, 40362.7]",46.1,45.2,47.8,31.1,17.2,61.2,1.4,64.9,38.3,16.0,191.5708812
Sherman County, Nebraska,20.0,10,3091,43883,"(42724.4, 45201]",49.5,47.7,50.5,42.3,10.0,62.2,3.1,75.6,35.3,12.1,0.0
Stanton County, Nebraska,16.0,10,5937,55955,"(54545.6, 61494.5]",38.8,36.8,41.4,35.0,14.2,68.3,2.6,76.1,28.0,9.2,0.0
Thayer County, Nebraska,40.0,13,5163,49517,"(48021.6, 51046.4]",48.9,47.6,50.9,37.0,14.8,,1.7,74.0,36.1,10.7,0.0
Thurston County, Nebraska,30.0,14,7064,41344,"(40362.7, 42724.4]",28.6,27.5,30.3,35.5,9.2,,14.4,39.9,39.1,34.0,0.0
Valley County, Nebraska,24.0,12,4154,44726,"(42724.4, 45201]",46.0,44.2,46.6,42.6,14.5,67.0,1.4,70.5,38.3,12.3,0.0
Washington County, Nebraska,104.0,39,20248,69191,"(61494.5, 125635]",41.2,40.1,42.4,31.1,22.6,68.0,1.4,82.4,22.9,7.4,0.0
Wayne County, Nebraska,39.0,15,9367,53290,"(51046.4, 54545.6]",30.1,27.2,32.2,20.5,25.8,66.8,3.0,82.7,22.2,13.6,0.0
Webster County, Nebraska,31.0,12,3625,40979,"(40362.7, 42724.4]",47.5,45.5,49.0,36.1,12.9,56.7,4.7,69.1,38.3,12.7,0.0
York County, Nebraska,72.0,33,13806,51335,"(51046.4, 54545.6]",41.3,38.2,43.6,32.6,19.0,65.5,2.0,77.4,28.9,10.6,0.0
Churchill County, Nevada,1962.667684,62,24200,46840,"(45201, 48021.6]",38.9,37.1,40.8,35.0,10.9,48.4,11.9,63.0,37.0,13.2,0.0
Clark County, Nevada,1962.667684,3120,2114801,51241,"(51046.4, 54545.6]",36.4,35.9,37.0,28.8,15.1,57.7,10.8,62.9,27.3,15.6,405.2390745
Douglas County, Nevada,1962.667684,108,47710,60322,"(54545.6, 61494.5]",49.4,48.7,50.0,24.7,16.4,51.5,8.5,70.7,35.8,10.3,0.0
Elko County, Nevada,1962.667684,55,51935,72648,"(61494.5, 125635]",33.5,32.9,34.1,26.8,12.3,67.0,5.5,73.0,18.5,10.8,0.0
Esmeralda County, Nevada,1962.667684,4,829,47180,"(45201, 48021.6]",46.5,43.0,47.5,43.2,12.6,46.0,11.9,56.5,37.1,14.0,0.0
Eureka County, Nevada,1962.667684,4,2016,70535,"(61494.5, 125635]",43.9,44.9,42.6,35.8,14.2,64.0,4.7,76.4,18.6,9.8,0.0
Humboldt County, Nevada,1962.667684,27,17019,67423,"(61494.5, 125635]",35.3,34.9,35.4,37.4,8.8,64.5,7.8,69.4,20.6,10.7,0.0
Lander County, Nevada,1962.667684,7,5903,74347,"(61494.5, 125635]",37.2,36.4,37.6,37.5,4.7,59.8,12.0,69.1,24.4,11.0,0.0
Lincoln County, Nevada,1962.667684,9,5036,45629,"(45201, 48021.6]",37.4,37.3,38.1,32.1,15.9,41.0,11.8,64.1,31.5,15.1,0.0
Lyon County, Nevada,1962.667684,124,52585,48576,"(48021.6, 51046.4]",43.2,43.1,43.4,30.2,11.1,48.6,13.6,61.1,37.5,13.7,0.0
Mineral County, Nevada,1962.667684,20,4478,40714,"(40362.7, 42724.4]",48.7,48.0,49.2,31.2,6.8,48.1,15.4,58.1,43.2,19.0,0.0
Nye County, Nevada,1962.667684,154,42477,42881,"(42724.4, 45201]",50.8,50.8,50.8,35.6,9.2,39.7,13.4,53.1,48.2,16.8,0.0
Pershing County, Nevada,1962.667684,9,6634,52001,"(51046.4, 54545.6]",41.3,39.5,44.1,35.4,7.5,36.9,9.5,59.9,34.7,18.5,0.0
Storey County, Nevada,1962.667684,7,3987,55291,"(54545.6, 61494.5]",54.7,54.0,55.6,29.5,14.1,50.4,10.3,68.5,34.1,8.4,0.0
Washoe County, Nevada,1962.667684,727,446903,52862,"(51046.4, 54545.6]",37.6,36.8,38.4,24.0,18.2,59.6,9.1,65.4,28.1,15.4,170.0592746
White Pine County, Nevada,1962.667684,23,9811,57243,"(54545.6, 61494.5]",39.4,38.4,40.3,34.5,8.8,43.8,10.6,67.6,31.9,13.7,0.0
Carson City, Nevada,1962.667684,145,54521,45639,"(45201, 48021.6]",42.6,41.2,44.4,28.6,12.8,52.9,11.3,61.3,35.6,19.3,36.68311293
Belknap County, New Hampshire,411.0,151,60641,59831,"(54545.6, 61494.5]",46.1,45.3,46.8,31.5,19.1,60.8,5.3,69.6,33.9,10.0,329.8098646
Carroll County, New Hampshire,360.0,133,47285,57556,"(54545.6, 61494.5]",50.3,49.3,51.0,31.4,20.0,56.6,5.8,70.0,36.4,10.7,0.0
Cheshire County, New Hampshire,452.0,156,75909,56008,"(54545.6, 61494.5]",42.0,41.4,42.5,33.8,19.4,62.2,6.1,75.0,28.7,11.8,13.17366847
Coos County, New Hampshire,223.0,93,31212,42491,"(40362.7, 42724.4]",48.1,46.7,49.5,39.1,11.7,54.2,6.9,61.8,43.5,14.9,32.03895937
Grafton County, New Hampshire,487.0,178,89320,56353,"(54545.6, 61494.5]",41.9,40.5,43.1,28.6,20.2,59.7,5.0,72.3,29.4,11.6,78.36990596
Hillsborough County, New Hampshire,2075.0,694,406678,71233,"(61494.5, 125635]",40.1,39.2,41.1,27.2,23.0,66.1,5.9,76.7,25.2,8.7,105.7347582
Merrimack County, New Hampshire,879.0,309,147994,62429,"(61494.5, 125635]",42.6,41.4,43.7,28.4,21.5,62.9,5.2,76.3,28.3,9.5,378.3937187
Rockingham County, New Hampshire,1758.0,570,301777,79653,"(61494.5, 125635]",43.5,42.6,44.3,26.9,24.6,68.0,5.6,82.7,22.3,6.1,72.90151337
Strafford County, New Hampshire,643.0,227,126825,58577,"(54545.6, 61494.5]",37.2,36.1,38.3,28.0,21.1,64.3,6.5,74.8,26.2,11.8,94.61856889
Sullivan County, New Hampshire,273.0,102,42967,57142,"(54545.6, 61494.5]",45.1,44.4,46.3,37.0,16.4,60.6,5.8,69.6,33.3,10.4,0.0
Atlantic County, New Jersey,1624.0,584,274219,54208,"(51046.4, 54545.6]",40.6,38.9,42.0,32.9,17.0,58.0,12.5,66.9,33.4,15.1,43.76064386
Bergen County, New Jersey,5164.0,1722,938506,84309,"(61494.5, 125635]",41.5,40.0,42.9,24.3,29.5,61.4,6.5,75.5,23.3,7.6,330.31221960000005
Burlington County, New Jersey,2768.0,914,450226,80479,"(61494.5, 125635]",41.0,39.2,42.6,29.5,23.3,61.0,8.5,81.4,25.7,7.2,446.4424533
Camden County, New Jersey,2963.0,1039,510923,61685,"(61494.5, 125635]",38.3,36.6,40.1,31.3,19.4,59.6,10.2,68.3,31.9,13.0,972.7493184
Cape May County, New Jersey,847.0,314,94727,55409,"(54545.6, 61494.5]",48.3,46.7,49.9,34.1,19.5,53.0,10.0,72.1,38.2,13.0,179.4630887
Cumberland County, New Jersey,847.0,317,155854,45438,"(45201, 48021.6]",36.9,35.6,38.8,39.4,10.5,51.0,11.1,59.4,38.4,19.5,128.32522749999998
Essex County, New Jersey,3553.0,1272,797434,54603,"(54545.6, 61494.5]",36.9,35.4,38.4,28.7,19.8,57.7,13.0,59.9,31.7,16.7,137.94245039999998
Gloucester County, New Jersey,1691.0,602,291479,78983,"(61494.5, 125635]",39.6,38.2,40.8,34.3,19.9,61.3,9.2,78.0,26.2,8.2,106.3541456
Hudson County, New Jersey,2353.0,876,674836,57720,"(54545.6, 61494.5]",34.7,33.8,35.6,26.1,23.8,62.7,9.3,56.5,29.6,17.7,1.481841514
Hunterdon County, New Jersey,731.0,210,125488,103876,"(61494.5, 125635]",45.0,43.5,46.1,22.7,29.3,64.0,5.9,87.5,20.5,4.7,47.81333673
Mercer County, New Jersey,1997.0,648,371398,73750,"(61494.5, 125635]",38.4,36.9,39.9,25.6,20.7,59.5,9.4,73.1,27.4,11.8,96.93105509
Middlesex County, New Jersey,3980.0,1357,840900,77330,"(61494.5, 125635]",37.7,36.6,38.9,26.3,24.5,60.4,7.5,74.6,23.0,8.3,89.19015341
Monmouth County, New Jersey,3887.0,1269,628715,87220,"(61494.5, 125635]",42.3,40.9,43.6,25.6,26.1,60.8,7.9,78.8,24.2,8.2,146.3302132
Morris County, New Jersey,2795.0,884,499509,100511,"(61494.5, 125635]",42.0,40.8,43.3,22.5,29.8,64.7,6.3,84.0,19.8,5.0,122.1199218
Ocean County, New Jersey,4355.0,1607,588721,62937,"(61494.5, 125635]",42.8,40.4,45.1,36.1,18.0,53.6,8.8,70.9,38.5,11.9,62.84810632
Passaic County, New Jersey,2305.0,827,510916,58030,"(54545.6, 61494.5]",36.5,35.1,37.9,34.8,17.1,57.8,8.6,55.8,35.3,18.2,60.67533606
Salem County, New Jersey,415.0,164,64180,56645,"(54545.6, 61494.5]",41.8,40.2,42.8,38.6,14.3,55.8,10.6,69.1,35.2,13.1,62.32471175
Somerset County, New Jersey,1673.0,549,333654,100194,"(61494.5, 125635]",40.8,39.6,42.0,21.9,29.2,65.0,6.0,82.2,19.2,5.0,329.6828451
Sussex County, New Jersey,822.0,281,143673,82048,"(61494.5, 125635]",43.4,42.5,44.2,31.0,23.2,64.0,8.2,80.9,22.2,6.2,132.2447502
Union County, New Jersey,2663.0,909,555786,68172,"(61494.5, 125635]",38.1,36.5,39.5,29.7,19.7,62.0,9.8,65.9,27.5,11.1,25.18955137
Warren County, New Jersey,623.0,227,106869,71294,"(61494.5, 125635]",42.6,41.4,43.7,34.0,19.7,61.3,9.0,76.9,26.3,8.3,28.0717514
Bernalillo County, New Mexico,2820.0,1031,676685,47192,"(45201, 48021.6]",36.5,35.2,37.9,23.8,17.9,57.5,8.4,58.5,37.7,18.7,294.0807022
Catron County, New Mexico,28.0,10,3456,33256,"[22640, 34218.1]",57.1,55.5,58.7,36.3,14.8,33.6,4.6,62.3,44.3,22.2,0.0
Chaves County, New Mexico,272.0,123,65764,38403,"(37413.8, 40362.7]",34.8,32.9,36.7,27.0,11.9,52.9,7.6,49.6,44.9,23.4,0.0
Cibola County, New Mexico,109.0,42,27329,35081,"(34218.1, 37413.8]",36.2,35.2,37.8,36.5,8.4,44.9,15.3,40.4,50.4,28.8,0.0
Colfax County, New Mexico,76.0,30,12414,37156,"(34218.1, 37413.8]",47.6,46.9,48.4,33.9,14.9,45.8,9.5,57.1,50.0,20.5,0.0
Curry County, New Mexico,153.0,66,50398,42620,"(40362.7, 42724.4]",30.7,29.3,32.9,25.2,12.6,54.0,9.1,56.9,38.7,19.2,0.0
De Baca County, New Mexico,14.0,8,1828,33789,"[22640, 34218.1]",47.3,51.2,45.9,42.9,6.8,36.9,5.2,53.4,49.3,20.6,0.0
